Round,Table,Players,Decks,Winner
Round 1,-,Carlos Torrico He/Him,Dimir Tempo,Carlos Torrico was assigned a bye
Round 1,1,"Victor Santos Esquici
Daniel Fernandez [TeamDominus] They/Them","Dimir Combo
Izzet Blink",Victor Santos Esquici won 2-0-0
Round 1,2,"EduCarSan
Felipe Schnyder","Jeskai
Simic Aggro",EduCarSan won 2-1-0
Round 1,3,"Borreguinhas He/Him
Leonardo Lambiasi He/Him","Mono-Green Landfall
Temur Combo",Borreguinhas won 2-0-0
Round 1,4,"JMoreirasn He/Him
Thiago Odasaki","Izzet Tempo
Temur",JMoreirasn won 2-0-0
Round 1,5,"Ismael Lessa He/Him
Pedro Gonzalez He/Him","Dimir Tempo
Azorius Control",Ismael Lessa won 2-0-0
Round 1,6,"Luis Montaña He/Him
GuillermoLoli","Dimir Midrange
Mono-Green Landfall",GuillermoLoli won 2-1-0
Round 1,7,"Bruno Volpato
guiadissy","Gruul Aggro
Temur",guiadissy won 2-0-0
Round 1,8,"Diego Galaz
Kathalarr","Izzet Lessons
Dimir Midrange",Kathalarr won 2-0-0
Round 1,9,"Lucas Fernandes He/Him
Carlos Medina He/Him","Simic Ouroboroid
Dimir Combo",Lucas Fernandes won 2-1-0
Round 1,10,"Gasser Abdeslam He/Him
Luís Felippe Rossello Lima","Izzet Otters
Izzet Lessons",Luís Felippe Rossello Lima won 2-1-0
Round 1,11,"Diego Almeida He/Him
Pablo Cuello He/Him","Rakdos Monument
Dimir Combo",Diego Almeida won 2-0-0
Round 1,12,"Daniel Moncada Tabares
Gabriel Fehr He/Him","Grixis Reanimator
Dimir Demons",Gabriel Fehr won 2-0-0
Round 1,13,"MARCOSHBF He/Him
oscarlevel152","Mono-Green Landfall
Dimir",oscarlevel152 won 2-1-0
Round 1,14,"RaulS
Lucas Rodriguez","Izzet Combo
Izzet Aggro",Lucas Rodriguez won 2-1-0
Round 1,15,"Isael Feitosa He/Him
Fellipe Emar He/Him","Mono-Green Aggro
Sultai Reanimator",Isael Feitosa won 2-1-0
Round 1,16,"MaximilianKalm
Felipe Machado","Mono-Green Landfall
Izzet Lessons",MaximilianKalm won 2-1-0
Round 1,17,"Catunda
DarioVergara He/Him","Izzet Midrange
W-U-R-G Omniscience",DarioVergara won 2-0-0
Round 1,18,"Jonas Antunes He/Him
TIAGO PINHEIRO","Dimir Combo
Azorius Tempo",Jonas Antunes won 2-0-0
Round 1,19,"Spribnow
Gabriel Castelo Garcia He/Him","Dimir Control
Izzet Lessons",Gabriel Castelo Garcia won 2-1-0
Round 1,20,"lobao
Jayme He/Him","Golgari
Boros Aggro",Jayme won 2-0-0
Round 1,21,"hendrik21
Agnaldo dos Santos Teixeira Junior Gnarr","Dimir Midrange
Dimir Control",1-1-0 Draw
Round 1,22,"Lauro Olsen He/Him
Camilo Niño","Dimir Control
Dimir Tempo",Camilo Niño won 2-1-0
Round 1,23,"Francisco ignacio andres Vargas ortiz He/Him
Jimmyto Lara He/They","Izzet Monument
Dimir Midrange",Jimmyto Lara won 2-0-0
Round 1,24,"Guilherme Guedes He/Him
Mateus de Carvalho He/Him","Sultai Reanimator
Jeskai Control",Guilherme Guedes won 2-0-0
Round 1,25,"Luis Navas Flores He/Him
Nicolas Morales Macaya He/Him","Mono-Red Aggro
Gruul Landfall",Luis Navas Flores won 2-1-0
Round 1,26,"NicoDays She/They
🙉 Caio Errerias He/Him","Izzet Aggro
Jeskai Control",🙉 Caio Errerias won 2-1-0
Round 1,27,"Andre Hassan
magic_zaraka He/Him","Grixis Demons
Gruul Landfall",magic_zaraka won 2-1-0
Round 1,28,"Andrés Camargo
zerokangs He/Him","Gruul Landfall
Sultai Midrange",Andrés Camargo won 2-0-0
Round 1,29,"CamiloRojas
João Jorge Sales Junior","Dimir Tempo
Dimir Control",João Jorge Sales Junior won 2-0-0
Round 1,30,"Bastian Muñoz Pizarro He/Him
Rudá dos Reis He/Him","Azorius Control
Izzet Lessons",Rudá dos Reis won 2-0-0
Round 1,31,"Prezin He/Him
Mauricio Iriarte Valenzuela","Dimir Control
Dimir Midrange",1-1-0 Draw
Round 1,32,"aloaiza23
Mariano de Gregorio He/Him","Jund Aggro
Dimir Midrange",aloaiza23 won 2-0-0
Round 1,33,"Xecuter He/Him
Sebastian Cantor","Temur Omniscience
Mono-Red Aggro",Xecuter won 2-1-0
Round 1,34,"Emanuel Sutter He/Him
Pedro Paulo Albuquerque Caraciolo He/They","Azorius
Dimir Demons",Emanuel Sutter won 2-0-0
Round 1,35,"Francisco Bertomeu
kbsAA","Izzet
Jeskai Control",kbsAA won 2-0-0
Round 1,36,"Charlesz
Andyu He/Him","Izzet Lessons
Dimir Midrange",Charlesz won 2-0-0
Round 1,37,"Juan Cruz Rodriguez Berjolis He/Him
Viniimato He/Him","Dimir Midrange
Jeskai Artifacts",Juan Cruz Rodriguez Berjolis won 2-0-0
Round 1,38,"RodolfoZuinConstantino He/Him
Redxfire He/Him","Bant Combo
Dimir Tempo",RodolfoZuinConstantino won 2-0-0
Round 1,39,"tony15974
gabrielstone","Izzet Midrange
Simic Ouroboroid",gabrielstone won 2-0-0
Round 1,40,"hachenova
Mircho","Izzet Midrange
Golgari Midrange",hachenova won 2-1-0
Round 1,41,"Guilherme Vinicius Fragoso De Souza Guivini06 He/Him
FelipePola","Izzet Tempo
Mono-Red Aggro",Guilherme Vinicius Fragoso De Souza Guivini06 won 2-1-0
Round 1,42,"Arthur Alves da Silva He/Him
Diego Eneas Garcia He/Him","Dimir Midrange
Bant Airbending",Diego Eneas Garcia won 2-0-0
Round 1,43,"Marcos Paredes He/Him
Rastaf","Mono-Green Aggro
Dimir Demons",Rastaf won 2-0-0
Round 1,44,"Jean Zveibil He/Him
Dihuen He/Him","Izzet Lessons
Dimir Reanimator",Dihuen won 2-0-0
Round 1,45,"Andres Vásquez
JOAO QUEGE","Gruul Landfall
Boros Dragons",JOAO QUEGE won 2-1-0
Round 1,46,"Julian Prado
Matheus Cunha","Azorius Tempo
Sultai Midrange",Matheus Cunha won 2-1-0
Round 1,47,"RODRIGOO
Ricardo Ramos","Mono-White Tokens
Simic Ouroboroid",Ricardo Ramos won 2-1-0
Round 1,48,"LuckZebra He/Him
Thiago Souza He/Him","Jeskai Artifacts
Izzet Lessons",Thiago Souza won 2-1-0
Round 1,49,"alikaik11 He/Him
RALC","Dimir Midrange
Dimir",RALC won 2-0-0
Round 1,50,"Francisco Vega
AdamSchwartz","Rakdos Midrange
Dimir Midrange",Francisco Vega won 2-0-0
Round 1,51,"Agustin Diaz He/Him
joaoclaudioms He/Him","Jeskai Control
W-U-B-G Lessons",Agustin Diaz won 2-0-0
Round 1,52,"Sebastián Silva
Carvallo Tomas","Simic Aggro
Temur",1-1-0 Draw
Round 1,53,"Erichartman
Adriano Melo","Izzet
Izzet Lessons",Adriano Melo won 2-1-0
Round 1,54,"GUSTAVO CORAIOLA He/Him
MarcoAurelioLima He/Him","Mono-Green Landfall
W-U-B-G Ouroboroid",MarcoAurelioLima won 2-1-0
Round 1,55,"camilo Diaz Pineda
LuGoCa","Simic Aggro
Temur Combo",camilo Diaz Pineda won 2-1-0
Round 1,56,"André Ramos Lima
Adrien Venancio He/Him","Boros Aggro
Simic Ouroboroid",André Ramos Lima won 2-1-0
Round 1,57,"Yulios
Marcos Santos","Dimir Midrange
Dimir Combo",Yulios won 2-0-0
Round 1,58,"Daniel Lopez
Vinicius447","Rakdos Aggro
Izzet Lessons",Daniel Lopez won 2-0-0
Round 1,59,"Carlos Morales U
AlexBanacloy","Izzet Lessons
Boros Aggro",Carlos Morales U won 2-1-0
Round 1,60,"Marco Figueroa He/Him
Rodrigo Muñoz Gómez He/Him","Boros Dragons
Boros Aggro",Marco Figueroa won 2-0-0
Round 1,61,"CarlosR41
JaackySalvati","Rakdos Monument
Izzet",JaackySalvati won 2-1-0
Round 1,62,"ariranhasx
Hernan_Lobos He/Him","Dimir Demons
Gruul Aggro",ariranhasx won 2-0-0
Round 1,63,"leandro bujones
Patricio Roman","Jeskai Control
Izzet Lessons",Patricio Roman won 2-0-0
Round 1,64,"Glauber Teixeira He/Him
Rodrigo Pinheiro He/Him","Sultai Combo
Azorius Tempo",Rodrigo Pinheiro won 2-0-0
Round 1,65,"Tiago Bittencourt
Gabriel Saba He/Him","Izzet Tempo
Izzet Lessons",Gabriel Saba won 2-1-0
Round 1,66,"Andres Cifuentes He/Him
LordSoth03","Azorius Flash
Sultai",LordSoth03 won 2-0-0
Round 1,67,"Thiago Saporito He/Him
Antonio Lucas Longo","Dimir Midrange
Izzet Combo",Thiago Saporito won 2-1-0
Round 1,68,"lshiga
CaioAraujo999 He/Him","Mono-Green
Izzet Tempo",CaioAraujo999 won 2-0-0
Round 1,69,"Doblep
magicmam","Dimir Midrange
Mono-Green Aggro",magicmam won 2-1-0
Round 1,70,"julianofofo
guisantana2","Mono-Red Aggro
Azorius Tempo",guisantana2 won 2-1-0
Round 1,71,"Javier Núñez He/Him
Dustyn_Aranda He/Him","Gruul Landfall
Dimir Demons",Javier Núñez won 2-1-0
Round 1,72,"Gustavo Fischer He/Him
_ZNT_","Selesnya Landfall
Izzet Lessons",Gustavo Fischer won 2-1-0
Round 1,73,"El_Comediante He/Him
Estêvão Rudi Arntz","Temur Combo
Izzet Lessons",El_Comediante won 2-0-0
Round 1,74,"Gibaft
222maxi222","Sultai Reanimator
Jund Aggro",Gibaft won 2-1-0
Round 1,75,"Mario Palma He/Him
Rodrigo Muñoz","W-U-B-R-G
Azorius",Mario Palma won 2-1-0
Round 1,76,"Fernando Passos
Walter Coquemala Filho He/Him","W-U-B-G Midrange
Temur Combo",Fernando Passos won 2-0-0
Round 1,77,"Christian Calcano
Sebasmoncada He/Him","Izzet Lessons
Izzet Monument",Sebasmoncada won 2-1-0
Round 1,78,"Renan Carrion He/Him
Xandre_Borges_","Boros Dragons
Dimir",Renan Carrion won 2-0-0
Round 1,79,"André Faustino
ailechan","Dimir Demons
Dimir Tempo",André Faustino won 2-1-0
Round 1,80,"LuisVenegas He/Him
Jorge Aguirre He/Him","Izzet Lessons
Azorius Tempo",Jorge Aguirre won 2-1-0
Round 1,81,"Darwin Fuenzalida He/Him
criacuna21","Izzet Bounce
Jeskai Control",Darwin Fuenzalida won 2-0-0
Round 1,82,"Claudinei Brasil Jr He/Him
tchuco He/Him","Mono-Red Aggro
Golgari Midrange",tchuco won 2-0-0
Round 1,83,"Emiliano Passoni
Mendez He/Him","Gruul Landfall
Izzet",Mendez won 2-0-0
Round 1,84,"Brahiam
Siiu911","Azorius Tempo
Mono-Green Landfall",Siiu911 won 2-1-0
Round 1,85,"p4nch020 He/Him
Jhonatan Restrepo He/Him","Azorius Tempo
Izzet Control",p4nch020 won 2-1-0
Round 1,86,"Martin Dominguez
Agustin Colombo He/Him","Gruul Aggro
Dimir Demons",Agustin Colombo won 2-0-0
Round 1,87,"VBocchS
Lucas Hervás","Dimir Midrange
Mono-Green Landfall",Lucas Hervás won 2-1-0
Round 1,88,"Thiago Valle dos Santos He/Him
Manuel Quiroga","Bant Ouroboroid
Mono-Red Aggro",Thiago Valle dos Santos won 2-0-0
Round 1,89,"julianpastoriza
Freddy Paredes [Team Dominus] He/Him","Jeskai Control
Dimir Midrange",julianpastoriza won 2-0-0
Round 1,90,"guiyote
KaszD3G He/Him","Azorius Tempo
W-U-B-R-G Aggro",guiyote won 2-1-0
Round 1,91,"managa He/Him
Everton Julian Silva Goulart He/Him","Dimir Midrange
Rakdos Aggro",Everton Julian Silva Goulart won 2-1-0
Round 1,92,"JoanCoussy
ERON MOGGIO He/Him","Temur Midrange
Jeskai Control",JoanCoussy won 2-0-0
Round 1,93,"Diego Quintero
Rudzilla_Rudson He/Him","Izzet
Izzet Prowess",Rudzilla_Rudson won 2-1-0
Round 1,94,"Ariel Cicchitti
Vinícius Karam He/Him","Dimir Demons
Dimir Demons",1-1-0 Draw
Round 1,95,"Lucas Lupatini He/Him
Julio Bejarano Espejo He/Him","Dimir Midrange
Dimir Midrange",Lucas Lupatini won 2-1-0
Round 1,96,"axeljami
Jhohan Mauricio Herrera Molina He/Him","Mono-Green Aggro
Dimir Midrange",1-1-0 Draw
Round 1,97,"SrLukas158 He/Him
LucasRJ","Boros Dragons
Izzet Lessons",SrLukas158 won 2-0-0
Round 1,98,"Federico Giardini
Denis Cabral Barbosa Dias He/Him","Simic Aggro
Boros Dragons",Denis Cabral Barbosa Dias won 2-0-0
Round 1,99,"Eljuano He/Him
ThiagoPG","Mono-Green Landfall
Dimir",ThiagoPG won 2-1-0
Round 1,100,"Francisco Gonzalez
Danilo Almeida","Izzet Prowess
Rakdos Monument",Danilo Almeida won 2-1-0
Round 1,101,"shootMeInTheLeg
Davi Mangolin Filho He/Him","Izzet Aggro
Bant Combo",Davi Mangolin Filho won 2-0-0
Round 1,102,"Marcelo López Lagos
Marcelo Rodrigues Cavalcante He/Him","Dimir
Dimir Midrange",Marcelo Rodrigues Cavalcante won 2-1-0
Round 1,103,"Eddie Dominguez He/Him
gabriel martinez He/Him","Izzet Looting
Mono-Green Midrange",1-1-0 Draw
Round 1,104,"SirClaudio He/They
NicholasPohren He/Him","Dimir Tempo
Dimir Control",SirClaudio won 2-0-0
Round 1,105,"José Carlos Lanzarotti Junior He/Him
LuisGutierrez He/Him","Mono-Red Aggro
Dimir Midrange",LuisGutierrez won 2-1-0
Round 2,-,alikaik11 He/Him,Dimir Midrange,alikaik11 was assigned a bye
Round 2,1,"magicmam
Kathalarr","Mono-Green Aggro
Dimir Midrange",magicmam won 2-0-0
Round 2,2,"Borreguinhas He/Him
Gustavo Fischer He/Him","Mono-Green Landfall
Selesnya Landfall",Borreguinhas won 2-1-0
Round 2,3,"Lucas Fernandes He/Him
JMoreirasn He/Him","Simic Ouroboroid
Izzet Tempo",Lucas Fernandes won 2-0-0
Round 2,4,"Yulios
Ricardo Ramos","Dimir Midrange
Simic Ouroboroid",Ricardo Ramos won 2-0-0
Round 2,5,"Charlesz
julianpastoriza","Izzet Lessons
Jeskai Control",Charlesz won 2-0-0
Round 2,6,"Renan Carrion He/Him
André Faustino","Boros Dragons
Dimir Demons",André Faustino won 2-1-0
Round 2,7,"magic_zaraka He/Him
Gabriel Castelo Garcia He/Him","Gruul Landfall
Izzet Lessons",Gabriel Castelo Garcia won 2-0-0
Round 2,8,"EduCarSan
Rudzilla_Rudson He/Him","Jeskai
Izzet Prowess",EduCarSan won 2-0-0
Round 2,9,"Patricio Roman
tchuco He/Him","Izzet Lessons
Golgari Midrange",Patricio Roman won 2-1-0
Round 2,10,"oscarlevel152
Davi Mangolin Filho He/Him","Dimir
Bant Combo",Davi Mangolin Filho won 2-0-0
Round 2,11,"Camilo Niño
Fernando Passos","Dimir Tempo
W-U-B-G Midrange",Camilo Niño won 2-1-0
Round 2,12,"Gabriel Fehr He/Him
Thiago Saporito He/Him","Dimir Demons
Dimir Midrange",Thiago Saporito won 2-0-0
Round 2,13,"Rodrigo Pinheiro He/Him
Luís Felippe Rossello Lima","Azorius Tempo
Izzet Lessons",Luís Felippe Rossello Lima won 2-0-0
Round 2,14,"Thiago Valle dos Santos He/Him
Diego Eneas Garcia He/Him","Bant Ouroboroid
Bant Airbending",Diego Eneas Garcia won 2-0-0
Round 2,15,"guiyote
El_Comediante He/Him","Azorius Tempo
Temur Combo",guiyote won 2-0-0
Round 2,16,"Marcelo Rodrigues Cavalcante He/Him
André Ramos Lima","Dimir Midrange
Boros Aggro",Marcelo Rodrigues Cavalcante won 2-0-0
Round 2,17,"João Jorge Sales Junior
RodolfoZuinConstantino He/Him","Dimir Control
Bant Combo",1-1-0 Draw
Round 2,18,"Danilo Almeida
Rastaf","Rakdos Monument
Dimir Demons",Rastaf won 2-1-0
Round 2,19,"DarioVergara He/Him
RALC","W-U-R-G Omniscience
Dimir",RALC won 2-1-0
Round 2,20,"Lucas Lupatini He/Him
ThiagoPG","Dimir Midrange
Dimir",1-1-0 Draw
Round 2,21,"🙉 Caio Errerias He/Him
Victor Santos Esquici","Jeskai Control
Dimir Combo",Victor Santos Esquici won 2-1-0
Round 2,22,"Luis Navas Flores He/Him
Guilherme Guedes He/Him","Mono-Red Aggro
Sultai Reanimator",Luis Navas Flores won 2-1-0
Round 2,23,"hachenova
GuillermoLoli","Izzet Midrange
Mono-Green Landfall",GuillermoLoli won 2-0-0
Round 2,24,"kbsAA
Lucas Hervás","Jeskai Control
Mono-Green Landfall",Lucas Hervás won 2-0-0
Round 2,25,"CaioAraujo999 He/Him
Gabriel Saba He/Him","Izzet Tempo
Izzet Lessons",CaioAraujo999 won 2-1-0
Round 2,26,"Dihuen He/Him
SirClaudio He/They","Dimir Reanimator
Dimir Tempo",SirClaudio won 2-0-0
Round 2,27,"Xecuter He/Him
Jayme He/Him","Temur Omniscience
Boros Aggro",Jayme won 2-0-0
Round 2,28,"Agustin Colombo He/Him
Jonas Antunes He/Him","Dimir Demons
Dimir Combo",Agustin Colombo won 2-0-0
Round 2,29,"guiadissy
SrLukas158 He/Him","Temur
Boros Dragons",SrLukas158 won 2-0-0
Round 2,30,"Guilherme Vinicius Fragoso De Souza Guivini06 He/Him
Carlos Torrico He/Him","Izzet Tempo
Dimir Tempo",Carlos Torrico won 2-0-0
Round 2,31,"LordSoth03
Juan Cruz Rodriguez Berjolis He/Him","Sultai
Dimir Midrange",Juan Cruz Rodriguez Berjolis won 2-1-0
Round 2,32,"Ismael Lessa He/Him
Darwin Fuenzalida He/Him","Dimir Tempo
Izzet Bounce",Ismael Lessa won 2-1-0
Round 2,33,"Matheus Cunha
Everton Julian Silva Goulart He/Him","Sultai Midrange
Rakdos Aggro",Everton Julian Silva Goulart won 2-1-0
Round 2,34,"Sebasmoncada He/Him
Gibaft","Izzet Monument
Sultai Reanimator",Sebasmoncada won 2-1-0
Round 2,35,"Agustin Diaz He/Him
Mendez He/Him","Jeskai Control
Izzet",Agustin Diaz won 2-0-0
Round 2,36,"Andrés Camargo
ariranhasx","Gruul Landfall
Dimir Demons",ariranhasx won 2-0-0
Round 2,37,"JoanCoussy
Jorge Aguirre He/Him","Temur Midrange
Azorius Tempo",Jorge Aguirre won 2-1-0
Round 2,38,"Rudá dos Reis He/Him
gabrielstone","Izzet Lessons
Simic Ouroboroid",gabrielstone won 2-1-0
Round 2,39,"MarcoAurelioLima He/Him
Diego Almeida He/Him","W-U-B-G Ouroboroid
Rakdos Monument",Diego Almeida won 2-0-0
Round 2,40,"Lucas Rodriguez
p4nch020 He/Him","Izzet Aggro
Azorius Tempo",p4nch020 won 2-0-0
Round 2,41,"JaackySalvati
Marco Figueroa He/Him","Izzet
Boros Dragons",Marco Figueroa won 2-0-0
Round 2,42,"Francisco Vega
Siiu911","Rakdos Midrange
Mono-Green Landfall",Siiu911 won 2-0-0
Round 2,43,"Jimmyto Lara He/They
Mario Palma He/Him","Dimir Midrange
W-U-B-R-G",Mario Palma won 2-1-0
Round 2,44,"Emanuel Sutter He/Him
camilo Diaz Pineda","Azorius
Simic Aggro",camilo Diaz Pineda won 2-0-0
Round 2,45,"MaximilianKalm
Adriano Melo","Mono-Green Landfall
Izzet Lessons",Adriano Melo won 2-0-0
Round 2,46,"Daniel Lopez
Javier Núñez He/Him","Rakdos Aggro
Gruul Landfall",Daniel Lopez won 2-0-0
Round 2,47,"Carlos Morales U
Denis Cabral Barbosa Dias He/Him","Izzet Lessons
Boros Dragons",Denis Cabral Barbosa Dias won 2-1-0
Round 2,48,"aloaiza23
JOAO QUEGE","Jund Aggro
Boros Dragons",JOAO QUEGE won 2-0-0
Round 2,49,"Thiago Souza He/Him
LuisGutierrez He/Him","Izzet Lessons
Dimir Midrange",Thiago Souza won 2-0-0
Round 2,50,"guisantana2
Isael Feitosa He/Him","Azorius Tempo
Mono-Green Aggro",Isael Feitosa won 2-1-0
Round 2,51,"Eddie Dominguez He/Him
axeljami","Izzet Looting
Mono-Green Aggro",axeljami won 2-0-0
Round 2,52,"gabriel martinez He/Him
Carvallo Tomas","Mono-Green Midrange
Temur",Carvallo Tomas won 2-0-0
Round 2,53,"Jhohan Mauricio Herrera Molina He/Him
Agnaldo dos Santos Teixeira Junior Gnarr","Dimir Midrange
Dimir Control",Jhohan Mauricio Herrera Molina won 2-1-0
Round 2,54,"Sebastián Silva
Vinícius Karam He/Him","Simic Aggro
Dimir Demons",Sebastián Silva won 2-1-0
Round 2,55,"Ariel Cicchitti
hendrik21","Dimir Demons
Dimir Midrange",hendrik21 won 2-0-0
Round 2,56,"Prezin He/Him
Xandre_Borges_","Dimir Control
Dimir",Xandre_Borges_ won 2-0-0
Round 2,57,"Mauricio Iriarte Valenzuela
Marcos Santos","Dimir Midrange
Dimir Combo",Mauricio Iriarte Valenzuela won 2-0-0
Round 2,58,"Felipe Schnyder
Vinicius447","Simic Aggro
Izzet Lessons",Felipe Schnyder won 2-0-0
Round 2,59,"Pedro Gonzalez He/Him
Tiago Bittencourt","Azorius Control
Izzet Tempo",1-1-0 Draw
Round 2,60,"Andres Cifuentes He/Him
Francisco ignacio andres Vargas ortiz He/Him","Azorius Flash
Izzet Monument",Andres Cifuentes won 2-0-0
Round 2,61,"Freddy Paredes [Team Dominus] He/Him
Francisco Bertomeu","Dimir Midrange
Izzet",Freddy Paredes [Team Dominus] won 2-0-0
Round 2,62,"_ZNT_
Fellipe Emar He/Him","Izzet Lessons
Sultai Reanimator",_ZNT_ won 2-0-0
Round 2,63,"LuisVenegas He/Him
TIAGO PINHEIRO","Izzet Lessons
Azorius Tempo",LuisVenegas won 2-0-0
Round 2,64,"Spribnow
Daniel Fernandez [TeamDominus] They/Them","Dimir Control
Izzet Blink",Daniel Fernandez [TeamDominus] won 2-0-0
Round 2,65,"CamiloRojas
Francisco Gonzalez","Dimir Tempo
Izzet Prowess",1-1-0 Draw
Round 2,66,"Lauro Olsen He/Him
MARCOSHBF He/Him","Dimir Control
Mono-Green Landfall",MARCOSHBF won 2-0-0
Round 2,67,"shootMeInTheLeg
Jhonatan Restrepo He/Him","Izzet Aggro
Izzet Control",shootMeInTheLeg won 2-0-0
Round 2,68,"Antonio Lucas Longo
Bruno Volpato","Izzet Combo
Gruul Aggro",Antonio Lucas Longo won 2-0-0
Round 2,69,"Bastian Muñoz Pizarro He/Him
managa He/Him","Azorius Control
Dimir Midrange",1-1-0 Draw
Round 2,70,"RaulS
julianofofo","Izzet Combo
Mono-Red Aggro",RaulS won 2-1-0
Round 2,71,"RODRIGOO
Diego Quintero","Mono-White Tokens
Izzet",RODRIGOO won 2-1-0
Round 2,72,"Walter Coquemala Filho He/Him
Doblep","Temur Combo
Dimir Midrange",Walter Coquemala Filho won 2-1-0
Round 2,73,"Federico Giardini
Claudinei Brasil Jr He/Him","Simic Aggro
Mono-Red Aggro",Federico Giardini won 2-0-0
Round 2,74,"Mariano de Gregorio He/Him
tony15974","Dimir Midrange
Izzet Midrange",Mariano de Gregorio won 2-1-0
Round 2,75,"NicholasPohren He/Him
222maxi222","Dimir Control
Jund Aggro",NicholasPohren won 2-0-0
Round 2,76,"Eljuano He/Him
Carlos Medina He/Him","Mono-Green Landfall
Dimir Combo",Eljuano won 2-0-0
Round 2,77,"Rodrigo Muñoz
NicoDays She/They","Azorius
Izzet Aggro",Rodrigo Muñoz won 2-0-0
Round 2,78,"Gasser Abdeslam He/Him
GUSTAVO CORAIOLA He/Him","Izzet Otters
Mono-Green Landfall",Gasser Abdeslam won 2-1-0
Round 2,79,"Catunda
Redxfire He/Him","Izzet Midrange
Dimir Tempo",1-1-0 Draw
